timestamp,job_id,jitter_ms,version,prevhash,coinb1,coinb2,extranonce1,extranonce2,merkle_branch,ntime,nbits,nonce
1768125332.5487845,b3e6e,391.5470999199897,20000000,f3f68cfd0466997dd4973f40887a9fa3fa822e64367f305b3e03930ec2177ca6,51b122e894291f36eb224a124776f55b2ec241c93f98490c4e317abc1016656b,ee1a3551cd56da65e2ed98055db545613dcd0178d23b8e0d5d5c27f88a7505fe,0000ffff,35060000,[],69637394,1d00ffff,63e541dc
1768125332.7540104,94121,204.34949989430606,20000000,c967d70a17f98aa80078856728385db473d1a6f7db58c3d9e413e9f0a3f697de,f6d1b4947f6b6620e354399b8f3eefe836d6bf20578041b2e7f8bf70e17f3c96,f3b775022d08eee07a6f340f89d873e95c5cfbc9654b1d8e46844fb85ce9282a,0000ffff,13030000,[],69637394,1d00ffff,ec27ed98
1768125332.761237,94121,6.247399840503931,20000000,c967d70a17f98aa80078856728385db473d1a6f7db58c3d9e413e9f0a3f697de,f6d1b4947f6b6620e354399b8f3eefe836d6bf20578041b2e7f8bf70e17f3c96,f3b775022d08eee07a6f340f89d873e95c5cfbc9654b1d8e46844fb85ce9282a,0000ffff,22030000,[],69637394,1d00ffff,4a88e50c
1768125332.76192,94121,0.02310005947947502,20000000,c967d70a17f98aa80078856728385db473d1a6f7db58c3d9e413e9f0a3f697de,f6d1b4947f6b6620e354399b8f3eefe836d6bf20578041b2e7f8bf70e17f3c96,f3b775022d08eee07a6f340f89d873e95c5cfbc9654b1d8e46844fb85ce9282a,0000ffff,28030000,[],69637394,1d00ffff,95e17dd1
1768125332.7625277,94121,0.02219993621110916,20000000,c967d70a17f98aa80078856728385db473d1a6f7db58c3d9e413e9f0a3f697de,f6d1b4947f6b6620e354399b8f3eefe836d6bf20578041b2e7f8bf70e17f3c96,f3b775022d08eee07a6f340f89d873e95c5cfbc9654b1d8e46844fb85ce9282a,0000ffff,35030000,[],69637394,1d00ffff,cdd58a78
1768125332.853739,9b8a1,90.55670001544058,20000000,c00f8b6b0a9a324446de01c88c475b57a5a5981b2d8694ef99f1ec0a74b9a3df,4b8f2490828559610706b70b62b59f5cc26d9f31b62cd9ad6a6dfc7e6b9da5fc,dd12fdd01283bf34a35a8858b140d73e0d580a855d3458c21b95874f9e154435,0000ffff,6c000000,[],69637394,1d00ffff,01204ff1
1768125332.924534,a0ef4,69.9533000588417,20000000,09e84753bf3416d1c6fc8cfe162095658ca9c5efed04e8975d68e009aea5cda4,770e50c4db4cd814f448b6ca87e2658be6bf5ef8f74c52fdfe37afdcc24e2a08,1e8fc3edf5e30b802d625c52eb70a88e6c427ef48f69f216f7625e35b7fb6c2e,0000ffff,cb000000,[],69637394,1d00ffff,07b932e8
1768125332.9620674,62869,36.72600002028048,20000000,1f27d908ba9d6a188577c17984a3e28852fb41ac1a93614c4f6dfeb6d6807db5,29de74d1efdf5db8b260f903d676ed714dd921ec2b8ce07b4ebb2b1671c8e61d,518f58edc587f55d464f86404ab57c519d1da73991d8a66d357bbd328a8b5a09,0000ffff,38000000,[],69637394,1d00ffff,ec4251be
1768125333.0678341,d7d2d,104.7738001216203,20000000,84e948b485678b9114ef8c2c273a3c67a92f4ca665c3aa79bfd155733c2bb05e,caa58ad742da173b9ce423d37d0662ca032afa5272d57a8a99c5a75157178fcc,703d97a15613b47b0df8d59911a172f8701709a3d958420e3fcabe4aa87820c8,0000ffff,67010000,[],69637394,1d00ffff,c8eac7b2
1768125333.3134415,b5457,244.78100007399917,20000000,7902ac7186670400a265eba6d20bd0bbb6b215c6bdc84a864ec0ffe349eb1fe4,abb14bd1aa76d79cf4ebaa1bf1619dec718b26fa1d86f7c0453e59325346c031,8d1015267e43dc4fbbadfa88517872b8c96336d56acc07ffdd993d07627bcb55,0000ffff,bc030000,[],69637395,1d00ffff,b123cfc0
1768125333.3746862,70a89,60.356599977239966,20000000,c4c4fdd46494f86ac577cb7922d7a23abc63067ca7c3718a921e2eea70d0d94b,1ff0faba2ca7e5f7ff1794ef62737a47bd546ebc0a2a4571902a5229a7e1860e,9e47c139ef066eb1728e2d67152704bab853a397233929b89b81ce841e674d9f,0000ffff,ad000000,[],69637395,1d00ffff,ac4ea175
1768125333.534749,5335b,159.0647001285106,20000000,6f879c09ae1c73b7b732d8a5384009b51f2494fe667b2bb9402e2eeab235bdf4,5eeb258c73e8b48481e6d13b9dae1be2a8dba7a57defeaba32b5972b3699c73b,346b54647feae1f035c05c04ca4d9f974d817366d5c8818ba09ed5b19498e242,0000ffff,4a020000,[],69637395,1d00ffff,83bdebc2
